"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"Principal Office Administrator",2019-04-16,2019-04-30," Anti-Counterfeit Agency","Administration / Secretarial  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Served in the grade of Chief Assistant Office Administrator, for a minimum period of three (3) years;
Bachelors’ degree in secretarial studies or bachelor of business and office management from a recognized institution.ORBachelors’ degree in social sciences plus a Diploma in Secretarial Studies from a recognized institution.
Certificate in secretarial management course lasting not less than three (3) weeks from Kenya school of government or any other recognized institution;
Certificate in senior management course lasting not less than four (4) weeks from a recognized institution;
Certificate in computer applications from a recognized institution;
Demonstrated professional competence in management of office and administrative services.
",NA,"The candidate must attach copies of the following documents:"
"Anti-Counterfeit Inspector II",2019-04-16,2019-04-30," Anti-Counterfeit Agency","Law / Legal  ","Nairobi","Full Time"," Government","BA/BSc/HND   ","
2 years ",NA,"
A Bachelor’s degree in Law, Criminology or related disciplines from a recognized institution;
At least two (2) years working experience in litigation, criminology or law enforcement; and
Demonstrated administrative and professional competence in work performance
Professional membership in the related fields above will be an added advantage.
",NA,"The candidate must attach copies of the following documents:"
"Senior Accountant",2019-04-16,2019-04-30," Anti-Counterfeit Agency","Finance / Accounting / Audit  ","Nairobi","Full Time"," Government","BA/BSc/HND   ","
4 years ",NA,"
Bachelor’s degree in Commerce, Business Administration, Economics, Statistics, Sociology, or related disciplines;
Obtained Certified Public Accountants CPA(K) or its equivalent from a recognized Institution;
At least four (4) years working experience in Finance & Accounting;
Attended a Senior Management Course; and
Must be a member of Institute of Certified Public Accountants of Kenya.
",NA,"The candidate must attach copies of the following documents:"
"Chief Supply Chain Management Officer",2019-04-16,2019-04-30," Anti-Counterfeit Agency","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Government","BA/BSc/HND   ","
6 years ",NA,"
Masters degree in Business Administration procurement/ Social Sciences/ Purchasing/Commerce/ Economics or related discipline
Bachelor degree in Business Administration procurement/ Social Sciences/Purchasing/Commerce/ Economics or related discipline;
At least six (6) years working experience, three (3) of which must have been at a managerial level in Supply Chain Management
CIPS professional final stage
Membership of KISM in good standing;
Attended a senior Management Course.
",NA,"The candidate must attach copies of the following documents:"
"Manager Legal Services",2019-04-16,2019-04-30," Anti-Counterfeit Agency","Law / Legal  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Masters degree in Law or Business Management/Administration;
Bachelor of Laws (LLB) degree from a recognized institution;
Must be an advocate of the High Court of Kenya in Good standing
At least ten (10) years working experience, five (5) of which must have been at a managerial level in litigation;
Demonstrated managerial, administrative and professional competence in work performance;
Attended a strategic leadership course not lasting less than four (4) weeks.
",NA,"The candidate must attach copies of the following documents:"
"Business Development & Marketing Lead",2019-04-16,NA," Jomo Kenyatta Foundation","Sales / Marketing  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ","
3 years ",NA,"
Bachelor’s Degree in a business or marketing-related field
At least three (3) years’ experience working in a business development role in an electronic organization
Excellent co-ordination and interpersonal skills
Proficiency in MS Office and ICT Skills
Team player
Proven track record of business development, marketing and communication
",NA,"Note that ALL candidates who meet the requirements as stipulated above should complete filling in this form and attach all the necessary documentation as required. The Cover letter should be clearly addressed to:"
"Sales Representative",2019-04-16,NA," Jomo Kenyatta Foundation","Sales / Marketing  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ",NA,NA,"
Bachelor’s Degree in either business administration, sales, marketing, finance or related field from a reputable institution
Proven experience as an Account/Sales Representative or in other sales/customer service role
Knowledge of market research, sales and negotiating principles
Outstanding knowledge of MS Office
Excellent communication/presentation skills and ability to build relationships
A business acumen
Enthusiastic and passionate
Proven work ethic matched with the utmost integrity
Goal oriented: a self-starter with real initiative
",NA,"Note that ALL candidates who meet the requirements as stipulated above should complete filling in this form and attach all the necessary documentation as required. The Cover letter should be clearly addressed to:"
"ICT Internship",2019-04-16,NA," Export Processing Zones Authority (EPZA)","Graduate Jobs / Internships  
ICT / Computer  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,NA,NA,"If you believe you are a dynamic, creative and self-driven individual who has the requisite skills, competencies and qualities of the above, do send a copy of your CV and the college letter seeking for internship as an email attachment to epza.jobadverts@epzakenya.com with “INTERNSHIP ” as the subject of your email."
"Marketing & Business Development Internship",2019-04-16,NA," Export Processing Zones Authority (EPZA)","Graduate Jobs / Internships  
Sales / Marketing  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,NA,NA,"If you believe you are a dynamic, creative and self-driven individual who has the requisite skills, competencies and qualities of the above, do send a copy of your CV and the college letter seeking for internship as an email attachment to epza.jobadverts@epzakenya.com with “INTERNSHIP ” as the subject of your email."
"Junior Sales Executives",2019-04-16,2019-04-26," Tuko Media","Sales / Marketing  ","Nairobi","Full Time"," Media / Radio / TV","BA/BSc/HND   ",NA,NA,"
Excellent communication skills
Strategic and analytical thinker
Experience as a sales person will be an advantage
Core values that are indistinguishable from the actual company’s policies
Selflessness & passion
Innovation & curiosity
Responsibility & integrity
Use of good judgment
",NA,"Send us your detailed resume with the title JUNIOR SALES EXECUTIVE to recruitment@tuko.co.ke on or before April 26, 2019."
"Head Of Grounds",2019-04-16,2019-06-10," Kenton College Prep School, ","Agriculture/Agro-Allied  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ",NA,NA,"
Minimum Certificate or Diploma in Urban Forestry and Landscaping
An understanding of child safety & protection standards
Current certificate of good conduct, NHIF, NSSF, PIN and Kenyan ID
Previous experience in an educational facility will be an added advantage
",NA,"Please email your current CV as soon as possible to jobs@kenton.ac.ke, or deliver hard copy to the attention of the HR Manager, Kenton College Preparatory School, Gichugu Road, Kileleshwa, P.O Box 25406-00603, Nairobi by Friday 10th May, 2019."
"Senior Human Resources Associate",2019-04-16,NA," UNICEF","Human Resources / HR  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to UNICEF career website on jobs.unicef.org to apply"
"HR Officer – Consultant",2019-04-16,NA," World Food Programme (WFP)","Human Resources / HR  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to World Food Programme (WFP) career website on career5.successfactors.eu to apply"
"Personal Assistant",2019-04-16,NA," Tetra Pak","Administration / Secretarial  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,NA,"
Diploma/Degree in Administration or equivalent
3-5 years of experience in similar executive assistant role
Advanced knowledge in Microsoft office (PowerPoint, Excel, Word)
Knowledge on travel planning and management
High level of planning and organising skills
Attention to detail
Good communication skills – must be fluent in English
A self starter
Highly motivated
",NA,"Interested and qualified? Go to Tetra Pak career website on jobs.tetrapak.com to apply"
"Assistant Stock Controller",2019-04-16,NA," Coca-Cola Company","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Ensure all stock can be accounted for.
Daily reconciliation of all stock movements.
Participation in daily physical stock take.
Capturing movement of stock in the transfer slips.
Capturing Warehouse breakages, truck breakages, stock destroyed, trade replacements and trade returns.
","
Diploma in Warehousing Management or Business Management.
3-5 years experience in a busy FMCG environment.
SAP knowledge will be an added advantage
",NA,"Interested and qualified? Go to Coca-Cola Company career website on ccba.erecruit.co to apply"
"Regional Deputy Director",2019-04-16,NA," US Pharmacopeia","Administration / Secretarial  ","Nairobi","Full Time"," Pharmaceuticals","BA/BSc/HND   ",NA,NA,NA,NA,"If interested in applying, please send your resume to GPHProposal@USP.org and include the title of the position in the Subject line."
